id,memberId,groupId,firstName,lastName,middleName,addressLine1,addressLine2,city,state,zipcode,country,phoneNumber1,phoneNumber2,email1,email2,objectId,objectName,subjectId,subjectName,fatherName,motherName,dateOfBirth,gender,maritalStatus,employmentStatus,policyNumber,coverageStartDate,coverageEndDate,memberStatus,preferredLanguage,createdAt,updatedAt
341c8cf0-b509-4582-bb8b-8570bd68954c,3f7064fe-5cdb-4002-9efd-b6873f6749cd,2052cf1d-9a5d-4a45-b97e-74ad95275c5a,Sarah,Smith,I,502 Rodriguez St,,Houston,CA,15861,UK,991-781-5262,,sarah.smith9@example.com,,dbd582ae-746f-4b91-b98d-b008e0bc8b1a,Object 849,ab5e6f85-9cbe-4f17-a148-ef04b5aec67b,Subject 567,Ryan Wilson,Matthew Garcia,2002-02-03,Other,Single,Student,POL999783,2024-02-11,2027-03-20,Active,English,2025-04-05T09:40:57.107646,2025-04-05T09:40:57.107654
702355cf-0187-4090-b5a9-dbf779e5f808,33ccc2d1-74a0-44f4-9103-26941694537f,b7744645-55f1-473a-a11c-df5ad74352ca,Joseph,Gonzalez,F,653 Hernandez St,Apt 24,Dallas,AZ,57952,UK,595-325-5441,,joseph.gonzalez44@example.com,,b0b36475-2996-4cf6-bd8e-76fa41b02640,Object 329,e14e105a-d9cc-4540-abea-defbf1835848,Subject 818,Michael Martinez,Amanda Moore,2000-07-08,Female,Married,Retired,POL768169,2017-03-28,2035-01-06,Terminated,Portuguese,2025-04-05T09:40:57.107874,2025-04-05T09:40:57.107879
df611ac3-28fd-46b0-b290-3c2dbed38822,4a7d4f73-12cb-465c-8f94-e5133d8e9dd8,4e2b5965-1b74-4929-ac5e-9d56ec3183ca,Rebecca,Martin,C,769 Gonzalez St,Apt 31,San Antonio,CA,31114,India,587-550-4990,,rebecca.martin1@example.com,,deb06057-63d0-4d25-a593-9daf4ac3dbe7,Object 13,78983ea8-603d-43f5-aa22-64047f6e7405,Subject 966,Elizabeth Williams,Emily Martin,1988-04-23,Female,Divorced,Unemployed,POL329104,2024-12-03,2031-11-15,Pending,Hindi,2025-04-05T09:40:57.108084,2025-04-05T09:40:57.108088
374e06ee-633d-4801-ad05-436a77cac3df,7e34d99f-a9fe-4251-9b17-0d4821ea25c7,5d592984-0cb7-4c80-ae30-6d5b6654680f,Jane,Smith,J,194 Jones St,Apt 21,San Jose,CA,85719,Canada,910-894-8784,267-203-7479,jane.smith20@example.com,,9a4a8438-6495-48b2-b1d5-888a22a1188c,Object 365,4b9526fc-34ea-405b-abb7-231cabaa9a80,Subject 523,Jessica Hernandez,Sarah Jones,2002-09-04,Female,Single,Unemployed,POL887798,2015-05-01,2033-07-11,Pending,Chinese,2025-04-05T09:40:57.108303,2025-04-05T09:40:57.108306
3a1b2f15-dc75-4cc4-bc95-c66627aae64b,b00eb7fb-a389-4f7a-ada2-340ad1d58042,24185d62-913e-42f6-b83f-778a813e2636,John,Anderson,A,541 Davis St,,Los Angeles,NY,98659,China,315-547-8772,541-179-4241,john.anderson11@example.com,,709b0f43-947c-48f5-9051-b6f385d81869,Object 829,9d6e8ebf-d05d-407b-9513-80217280bcd3,Subject 232,Emily Taylor,David Smith,1967-09-06,Female,Divorced,Student,POL526348,2023-09-16,2028-04-30,Terminated,Hindi,2025-04-05T09:40:57.108463,2025-04-05T09:40:57.108465
b3a1926a-1226-40a7-a17b-a513dec71c1b,9f595c9a-329e-4f32-89c5-4fd3df057b2d,ede83ab2-7212-43d6-af1f-14ed4228f45a,Joseph,Martin,H,274 Wilson St,,San Antonio,CA,65403,UK,274-670-1044,,joseph.martin79@example.com,,f4b9e805-1c7a-49d1-94b4-365d76d7a3d5,Object 132,d44cf62b-a17e-470d-9f48-b3f0fffa9e4b,Subject 13,Joshua Johnson,Samantha Wilson,1988-08-31,Other,Divorced,Unemployed,POL566191,2024-03-21,2033-01-25,Pending,Arabic,2025-04-05T09:40:57.108649,2025-04-05T09:40:57.108653
0aad2106-0e1c-43ba-a6fc-b9bdc73c8472,033c8fbb-f731-4e62-b920-bda3afce47bc,4d4b5712-f662-4a9c-b3b1-d5761334ed79,Ryan,Miller,D,385 Gonzalez St,Apt 37,Chicago,IL,59985,Germany,289-244-9931,851-351-4548,ryan.miller71@example.com,miller.ryan46@example.com,9cdcce93-51c2-4fdb-9123-86411ea49f20,Object 410,ba944e18-93c2-476a-97d3-ac4e570e93d9,Subject 828,Stephanie Brown,Christopher Smith,1985-01-12,Other,Married,Retired,POL320283,2022-11-24,2031-12-02,Terminated,French,2025-04-05T09:40:57.108871,2025-04-05T09:40:57.108875
aec22fc8-1866-4644-a0bd-ae4f000acf38,a3f9f886-1c44-41b2-8c55-dff876bae2b0,d756814e-d5d0-4920-88fb-55c83bbd6587,David,Rodriguez,I,645 Johnson St,Apt 38,San Diego,TX,56803,Australia,447-633-3920,382-889-2113,david.rodriguez50@example.com,rodriguez.david82@example.com,3cb3e172-77b1-4ca2-91b8-db2301c5e390,Object 350,baf056b9-a017-45a0-be32-967879d7be2d,Subject 145,Emily Thomas,Amanda Davis,1970-03-02,Other,Married,Student,POL885049,2023-09-12,2034-08-25,Pending,Spanish,2025-04-05T09:40:57.109041,2025-04-05T09:40:57.109043
46edec7d-d2e9-46d3-bde9-b81d1dab0fb4,f9677b2c-a5aa-42c8-9450-4a54dba5adbc,9181d308-b642-477b-95f9-3e0c461adf52,Michael,Wilson,B,912 Jackson St,Apt 38,Los Angeles,NY,47083,Canada,292-616-2774,,michael.wilson39@example.com,,de6c7e57-2c8a-4e8c-a15e-b872e1b2e9c3,Object 109,9e09bdd1-7f6b-49a1-a0fe-f34c48dd3d73,Subject 759,Rebecca Johnson,Amanda Hernandez,1982-03-08,Female,Divorced,Unemployed,POL565260,2016-03-13,2026-08-02,Inactive,Chinese,2025-04-05T09:40:57.109136,2025-04-05T09:40:57.109137
1fdc720e-569d-4ea5-8ac2-48ef66647a26,57f53802-1625-4423-825c-a7b425a08e3f,b0b7a54f-5873-466b-8288-e1701e7e4af0,David,Hernandez,A,888 Anderson St,,Dallas,IL,20390,UK,489-602-6960,,david.hernandez55@example.com,,04772e5d-9d40-4f7a-aab7-bcdd5d6b4068,Object 214,a109bde5-864b-401e-a524-3feeb076e19d,Subject 76,Joseph Davis,Ashley Jones,1998-08-24,Female,Divorced,Retired,POL631552,2020-08-04,2027-06-23,Pending,Spanish,2025-04-05T09:40:57.109222,2025-04-05T09:40:57.109223
