id,memberId,groupId,firstName,lastName,middleName,addressLine1,addressLine2,city,state,zipcode,country,phoneNumber1,phoneNumber2,email1,email2,objectId,objectName,subjectId,subjectName,fatherName,motherName,dateOfBirth,gender,maritalStatus,employmentStatus,policyNumber,coverageStartDate,coverageEndDate,memberStatus,preferredLanguage,createdAt,updatedAt
e7b513ab-968c-4433-b55b-944d248d0bc9,5eceae63-03f9-43dd-b154-b7b5cf3927c8,acf5eafb-4c76-43a3-a649-ac0b55706ea2,Daniel,Anderson,J,778 Rodriguez St,,Houston,TX,91500,India,347-599-6564,,daniel.anderson84@example.com,,7d279fa6-e69c-4e0e-b3c2-5d80becf0010,Object 383,91c5b9a6-4300-413e-a561-bc29c500fa17,Subject 967,Samantha Hernandez,John Moore,1979-04-04,Other,Single,Employed,POL461479,2024-01-20,2027-02-01,Pending,Spanish,2025-04-05T09:40:54.423518,2025-04-05T09:40:54.423526
f57eb65b-2c02-44ef-80bb-12ff1b45a7f8,d98ab820-624e-48f9-b1d3-220efb8ccba7,9dffc1e5-5c91-48ed-a506-7f2f30dc1beb,Matthew,Wilson,A,626 Taylor St,,San Antonio,CA,14177,Germany,155-772-1996,967-519-7117,matthew.wilson4@example.com,wilson.matthew49@example.com,acef0bab-a6bd-412d-88e6-dd9730b3959c,Object 858,70dacc30-9c98-47c4-9fc6-687d6ed26205,Subject 556,Elizabeth Wilson,Joseph Johnson,2001-05-28,Male,Widowed,Unemployed,POL301346,2016-04-16,2032-11-17,Inactive,German,2025-04-05T09:40:54.423840,2025-04-05T09:40:54.423844
3708f4e5-3b9d-4ab1-ad4f-3ffecf041bba,89a24b4f-9b80-42b8-af2f-08b7a0f5a9c0,22b46974-fd01-4dc3-8874-3b21bfe4daf3,John,Davis,C,787 Brown St,Apt 11,Philadelphia,TX,57141,France,484-811-6936,,john.davis16@example.com,,b77a88d1-399f-42f8-b3f1-952ca1ab916f,Object 550,dfa07493-c99d-40b5-b4d9-e8ab30e92f6a,Subject 55,Stephanie Lopez,Matthew Anderson,1973-11-03,Other,Single,Student,POL965679,2018-12-14,2025-09-07,Inactive,Russian,2025-04-05T09:40:54.424086,2025-04-05T09:40:54.424090
e6c42223-453f-406c-8d8b-1ebdf9c3ef0d,12fae3b3-8bd5-4b22-a7f8-6cb1b911a41a,44690466-7038-425c-a6c4-16434be92846,Michael,Martinez,G,579 Miller St,Apt 50,San Diego,CA,66256,France,244-725-7372,,michael.martinez18@example.com,martinez.michael17@example.com,907ef07e-1c3a-49be-883a-fb71fa401105,Object 872,b4ea48df-d4db-4746-83d7-9cd577e59412,Subject 257,Daniel Brown,Andrew Williams,2006-08-14,Other,Single,Employed,POL388500,2021-09-14,2029-10-27,Terminated,Arabic,2025-04-05T09:40:54.424271,2025-04-05T09:40:54.424273
5caf8ccd-7819-4f39-9b4f-ae2ab00c9ffc,7c5b7e36-7848-46f6-bbd6-6ac5f7b73f34,7a287dea-a038-41d8-81ac-aa7faba3cfb7,Ashley,Johnson,E,126 Garcia St,,San Antonio,NY,73565,China,782-577-5886,654-625-8764,ashley.johnson95@example.com,,1964c0cb-2562-4362-9788-e0a40b1cb809,Object 765,810dec69-9a85-4b74-a7e3-50a6f9fcaa34,Subject 19,Elizabeth Lopez,Stephanie Rodriguez,1978-01-01,Other,Single,Student,POL894363,2015-10-24,2030-12-07,Pending,Portuguese,2025-04-05T09:40:54.424423,2025-04-05T09:40:54.424425
534c4883-7172-4999-8c33-568b3d183dcf,ece002c2-1b90-4b33-b6d9-772ac1907fdc,df50ffc0-9daa-4259-96f3-d1d9333d6d2f,Ashley,Miller,F,310 Anderson St,Apt 24,Phoenix,NY,65385,Canada,255-124-3594,,ashley.miller76@example.com,,c77070e9-5f4f-4bba-9bb3-d2b747238f41,Object 825,00aa787e-bf36-4176-817c-f198986aca0c,Subject 804,Sarah Johnson,Joseph Wilson,1977-03-11,Male,Single,Unemployed,POL727912,2016-09-25,2031-01-07,Terminated,Hindi,2025-04-05T09:40:54.424578,2025-04-05T09:40:54.424579
2ea20bcd-274a-494b-8384-f1423da1bdf9,b8264654-ceae-443e-886b-1f50162da376,81bc5519-88e3-4499-80c0-35eb0b60accb,Elizabeth,Smith,I,333 Martinez St,,San Diego,PA,21973,China,949-405-2566,,elizabeth.smith23@example.com,,ca69408f-78fb-4a6c-8498-bde8c73585aa,Object 535,c8b07241-f0d4-414e-8db1-2c954f8efd61,Subject 173,Matthew Anderson,Michael Lopez,1974-04-02,Female,Widowed,Unemployed,POL202765,2023-08-31,2027-06-02,Terminated,Arabic,2025-04-05T09:40:54.424786,2025-04-05T09:40:54.424790
2a3aa7ad-67c3-4d22-857d-1f55be606cf9,3ac72f3f-206f-4485-9a02-92c78c6161af,8ded8a3f-863b-49cd-bb4b-35c2defa70ed,Jessica,Wilson,I,211 Taylor St,,San Diego,CA,55476,India,940-593-6617,123-152-9867,jessica.wilson3@example.com,wilson.jessica6@example.com,5edd5f75-31f0-4f6f-8355-da180e07eb91,Object 867,2e5bdbf7-6644-439b-9761-722e42a980bd,Subject 829,Joshua Jones,Emily Garcia,2005-06-27,Female,Married,Student,POL367753,2017-10-15,2031-02-14,Active,Chinese,2025-04-05T09:40:54.424955,2025-04-05T09:40:54.424957
3ed195c1-7c25-4953-af1f-c97c13ea7c26,a101f81b-5526-4e3e-8530-4bdac2659e62,63713d15-4107-4d9c-9c9e-389ba9ee0262,Sarah,Rodriguez,E,502 Martin St,Apt 44,Dallas,CA,17148,Germany,443-893-4372,654-350-4705,sarah.rodriguez93@example.com,,18c3b98c-4598-4e00-a392-de5388f9eac1,Object 490,6cabe549-84d9-48f9-a174-6ec21507b5a8,Subject 505,John Moore,Jane Williams,1979-08-12,Other,Married,Unemployed,POL960972,2018-11-15,2035-02-27,Active,Russian,2025-04-05T09:40:54.425167,2025-04-05T09:40:54.425170
7c0af548-5a45-434e-8ebb-37950bb52d30,37e75467-68ad-4c3e-ad9f-77e4fafd937b,928597f3-1417-4a9f-a95c-94adff2674ce,Matthew,Martinez,B,851 Brown St,,San Jose,CA,21186,Canada,241-292-6936,782-343-8793,matthew.martinez30@example.com,,65c85b13-1a7c-4262-ac46-70cf33e66339,Object 406,af9e089b-a2b3-4801-aa8a-fbf0623cf577,Subject 102,Stephanie Williams,John Thomas,1985-06-14,Female,Single,Employed,POL146346,2024-03-16,2028-05-24,Terminated,English,2025-04-05T09:40:54.425331,2025-04-05T09:40:54.425333
