id,memberId,groupId,firstName,lastName,middleName,addressLine1,addressLine2,city,state,zipcode,country,phoneNumber1,phoneNumber2,email1,email2,objectId,objectName,subjectId,subjectName,fatherName,motherName,dateOfBirth,gender,maritalStatus,employmentStatus,policyNumber,coverageStartDate,coverageEndDate,memberStatus,preferredLanguage,createdAt,updatedAt
db4abc0c-a7f7-47f8-abdb-20bccb60a2c0,d1e40e3d-e057-40aa-b189-f4cb64909a12,4c472e02-bfc6-4ffb-adf8-f189a3f6f5a7,Jane,Davis,E,713 Martin St,,Philadelphia,PA,81178,China,266-318-8101,,jane.davis60@example.com,davis.jane74@example.com,b3817ed5-fe61-46b3-8f16-49ab77155d42,Object 766,d58d54c9-8c2b-4fbc-9835-a11819281a8a,Subject 818,Jessica Martinez,Jane Martinez,1977-12-27,Male,Widowed,Employed,POL535967,2016-12-05,2030-03-09,Active,Russian,2025-04-05T09:40:49.020690,2025-04-05T09:40:49.020697
e2a747ef-0340-4473-869a-bd9304926a34,2b7cb75d-008f-4337-97d4-2af42f9ec439,baf02c35-45f6-411e-8c3e-78f57f01418b,John,Jackson,E,424 Johnson St,Apt 50,San Diego,NY,11244,USA,327-843-2624,714-660-6907,john.jackson65@example.com,,ff7d6ff8-d9ad-4bbd-a44d-da992b8b1288,Object 916,26822e2c-3fa8-4b50-973b-0342bd1eef36,Subject 473,Elizabeth Lopez,Ryan Moore,1998-06-21,Male,Married,Employed,POL125017,2022-08-28,2034-01-18,Inactive,Portuguese,2025-04-05T09:40:49.020874,2025-04-05T09:40:49.020876
8dd46f64-f4c6-440a-92ba-c7c41fa8cac0,a6ccf63f-39b0-48c9-aa29-6f010d327bf9,5c8abdfd-924c-4452-b5bb-2a140662ccfa,Andrew,Jackson,B,289 Moore St,,San Jose,CA,70121,China,217-270-7773,812-328-8927,andrew.jackson96@example.com,,079f0fe6-25cb-4898-8ec0-206e890763e9,Object 637,32e8bd84-ca2b-4ff4-b9cd-e24140f779b4,Subject 7,Ryan Davis,Samantha Williams,1996-02-27,Male,Married,Unemployed,POL196436,2022-12-23,2025-07-28,Inactive,Japanese,2025-04-05T09:40:49.021166,2025-04-05T09:40:49.021169
d9168569-c0a3-4fce-8e0c-20df5ca27c5a,84e3c27c-686f-4adb-afab-c36563572cbd,f36b0da1-9ed7-4178-949a-112d15898c22,Ryan,Martin,G,440 Smith St,,Dallas,AZ,44838,Australia,693-337-2718,328-961-5369,ryan.martin57@example.com,,59ac883d-60fd-4b15-b8e4-8d74545b9eb9,Object 123,8304e6a2-93cd-4862-bd63-ba14d9f1d9e3,Subject 697,Stephanie Hernandez,Andrew Hernandez,1999-05-21,Male,Single,Student,POL791636,2022-06-19,2025-07-03,Inactive,French,2025-04-05T09:40:49.021486,2025-04-05T09:40:49.021489
e19b9ff6-e774-48c7-bced-44e92b4bab25,53d3bfe0-9041-4009-aad6-5ef86bcb0e5f,43ba2ccc-67cc-4916-a0b4-74de2889c3ef,Sarah,Hernandez,A,415 Davis St,,San Jose,PA,44795,USA,191-703-2366,,sarah.hernandez95@example.com,,40d31891-75c9-4f23-8919-13b6a7ed5a6e,Object 501,77f181a2-9731-44e7-a028-c93886e52b40,Subject 215,Christopher Anderson,Samantha Lopez,1995-05-29,Female,Married,Student,POL824287,2019-09-16,2028-07-28,Inactive,Spanish,2025-04-05T09:40:49.021756,2025-04-05T09:40:49.021758
cda62ead-26ef-4a8f-88dc-efa60f446299,aac91cf0-9836-4433-a3ab-fce7991f92c9,dadfc186-83cb-49ea-b334-6743be18bfcc,Ashley,Rodriguez,J,927 Jackson St,,Los Angeles,CA,67010,China,715-815-2038,650-347-9333,ashley.rodriguez11@example.com,rodriguez.ashley86@example.com,eb7e08db-8e0e-492b-9049-4a456970089f,Object 804,62ffe96f-5638-4b47-838c-c839f881bc37,Subject 794,John Wilson,Christopher Hernandez,2006-07-30,Other,Married,Employed,POL576431,2019-06-23,2027-11-09,Terminated,Portuguese,2025-04-05T09:40:49.021944,2025-04-05T09:40:49.021946
a005bf2f-0e98-4527-a4e3-404381ea2b2f,e40c18c4-8fd4-41a5-b601-73db76ae400f,32c60862-7c45-4fd6-b65e-2b2be93d76e5,Ashley,Martinez,C,722 Taylor St,Apt 17,Houston,TX,19613,Japan,732-809-9466,371-990-3759,ashley.martinez95@example.com,,d32a07ee-e1f1-4e2c-a5ae-c33a0b9a73f9,Object 654,801fd649-ea2e-49e2-b27f-3cd40bff7227,Subject 237,Ashley Martinez,Daniel Johnson,1983-10-11,Male,Widowed,Student,POL300540,2021-11-11,2032-04-27,Inactive,Russian,2025-04-05T09:40:49.022119,2025-04-05T09:40:49.022121
983f0591-b1bb-4523-9d38-d8d0c7be474d,ca52b463-6d36-44b2-9ad0-e7def4e5777c,8c2cd86e-ce2a-4208-9cd7-8105650226a2,Matthew,Anderson,G,168 Thomas St,Apt 20,San Antonio,TX,64430,Brazil,631-443-5763,,matthew.anderson63@example.com,,4452d6b5-dfcb-41a2-ae1c-d3fb6a3ca3b0,Object 71,9b299155-9920-48de-8c89-d6225d346a69,Subject 179,David Davis,Daniel Martinez,2003-04-30,Female,Widowed,Unemployed,POL436432,2018-07-21,2034-02-25,Active,French,2025-04-05T09:40:49.022272,2025-04-05T09:40:49.022274
55dd5060-e599-434d-98d3-f279dd8dde8a,effe7bac-ea65-4cbf-963c-f24abf260175,7e59a8cd-7d1b-43f9-8a0b-eb9323d63726,Sarah,Hernandez,C,742 Lopez St,,Houston,IL,77381,Japan,473-958-4404,983-349-2820,sarah.hernandez84@example.com,hernandez.sarah21@example.com,4193b710-1501-41d9-88ac-c8c4d3ab5ce8,Object 274,44fa9723-edbb-4f88-bb60-dc87d2618f64,Subject 853,Emily Wilson,Ryan Martin,1994-02-10,Other,Married,Employed,POL303724,2022-04-18,2033-06-12,Pending,Japanese,2025-04-05T09:40:49.022461,2025-04-05T09:40:49.022465
9b7186a7-7ae8-45a5-aa5c-0a12e0dcd217,0a729fd9-a3f4-47c4-873d-fee4190f58ae,46c50979-09f5-4609-a894-5ab5fb536fea,Ryan,Johnson,C,517 Jones St,,San Jose,TX,29404,Australia,720-855-4542,,ryan.johnson81@example.com,,c56e1b69-286f-4913-8b63-b43881184f5f,Object 17,a6b2405c-19a6-4be4-8e86-c248fe068879,Subject 156,Sarah Williams,Sarah Thomas,2002-03-08,Other,Divorced,Student,POL764566,2020-07-28,2027-03-17,Terminated,German,2025-04-05T09:40:49.022650,2025-04-05T09:40:49.022652
